"","date","DKb_NewCases","DKb_svnDavg","Ful_NewCases","Ful_svnDavg","DekalbREL","FultonREL"
"1","2020-03-02",NA,NA,NA,NA,NA,NA
"2","2020-03-03",NA,NA,0,NA,NA,NA
"3","2020-03-04",NA,NA,0,NA,NA,NA
"4","2020-03-05",NA,NA,0,NA,NA,NA
"5","2020-03-06",NA,NA,0,NA,NA,NA
"6","2020-03-07",NA,NA,2,NA,NA,NA
"7","2020-03-08",NA,NA,1,NA,NA,NA
"8","2020-03-09",NA,NA,0,0.428571428571429,NA,0.0402792696025779
"9","2020-03-10",0,NA,1,0.571428571428571,NA,0.0537056928034372
"10","2020-03-11",2,NA,0,0.571428571428571,NA,0.0537056928034372
"11","2020-03-12",0,NA,0,0.571428571428571,NA,0.0537056928034372
"12","2020-03-13",0,NA,0,0.571428571428571,NA,0.0537056928034372
"13","2020-03-14",4,NA,7,1.28571428571429,NA,0.120837808807734
"14","2020-03-15",2,NA,7,2.14285714285714,NA,0.201396348012889
"15","2020-03-16",0,1.14285714285714,7,3.14285714285714,0.150515166378524,0.295381310418904
"16","2020-03-17",5,1.85714285714286,6,3.85714285714286,0.244587145365102,0.362513426423201
"17","2020-03-18",3,2,16,6.14285714285714,0.263401541162417,0.57733619763695
"18","2020-03-19",4,2.57142857142857,19,8.85714285714286,0.338659124351679,0.832438238453276
"19","2020-03-20",18,5.14285714285714,27,12.7142857142857,0.677318248703359,1.19495166487648
"20","2020-03-21",2,4.85714285714286,5,12.4285714285714,0.639689457108728,1.16809881847476
"21","2020-03-22",11,6.14285714285714,11,13,0.809019019284568,1.2218045112782
"22","2020-03-23",21,9.14285714285714,41,17.8571428571429,1.20412133102819,1.67830290010741
"23","2020-03-24",33,13.1428571428571,39,22.5714285714286,1.73092441335303,2.12137486573577
"24","2020-03-25",18,15.2857142857143,13,22.1428571428571,2.01314035031276,2.08109559613319
"25","2020-03-26",12,16.4285714285714,27,23.2857142857143,2.16365551669129,2.18850698174006
"26","2020-03-27",82,25.5714285714286,116,36,3.36777684771948,3.38345864661654
"27","2020-03-28",27,29.1428571428571,31,39.7142857142857,3.83813674265237,3.73254564983888
"28","2020-03-29",27,31.4285714285714,47,44.8571428571429,4.13916707540942,4.21589688506982
"29","2020-03-30",21,31.4285714285714,78,50.1428571428571,4.13916707540942,4.71267454350161
"30","2020-03-31",66,36.1428571428571,96,58.2857142857143,4.76004213672083,5.47798066595059
"31","2020-04-01",0,33.5714285714286,39,62,4.42138301236915,5.82706766917293
"32","2020-04-02",49,38.8571428571429,109,73.7142857142857,5.11751565686982,6.92803437164339
"33","2020-04-03",74,37.7142857142857,163,80.4285714285714,4.9670004904913,7.55907626208378
"34","2020-04-04",56,41.8571428571429,49,83,5.51261796861345,7.80075187969925
"35","2020-04-05",10,39.4285714285714,11,77.8571428571429,5.19277324005908,7.31740064446831
"36","2020-04-06",51,43.7142857142857,83,78.5714285714286,5.75720511397855,7.38453276047261
"37","2020-04-07",73,44.7142857142857,132,83.7142857142857,5.88890588455976,7.86788399570354
"38","2020-04-08",59,53.1428571428571,76,89,6.99895523660138,8.36466165413534
"39","2020-04-09",34,51,75,84.1428571428571,6.71673929964164,7.90816326530612
"40","2020-04-10",60,49,81,72.4285714285714,6.45333775847922,6.80719656283566
"41","2020-04-11",22,44.1428571428571,29,69.5714285714286,5.8136483013705,6.53866809881847
"42","2020-04-12",45,49.1428571428571,49,75,6.47215215427654,7.04887218045113
"43","2020-04-13",113,58,140,83.1428571428571,7.6386446937101,7.81417830290011
"44","2020-04-14",138,67.2857142857143,177,89.5714285714286,8.86158042053561,8.41836734693877
"45","2020-04-15",81,70.4285714285714,90,91.5714285714286,9.27549712807655,8.6063372717508
"46","2020-04-16",35,70.5714285714286,43,87,9.29431152387387,8.17669172932331
"47","2020-04-17",106,77.1428571428571,92,88.5714285714286,10.1597737305504,8.32438238453276
"48","2020-04-18",42,80,28,88.4285714285714,10.5360616464967,8.3109559613319
"49","2020-04-19",65,82.8571428571429,66,90.8571428571429,10.912349562443,8.53920515574651
"50","2020-04-20",47,73.4285714285714,67,80.4285714285714,9.67059943982018,7.55907626208378
"51","2020-04-21",43,59.8571428571429,8,56.2857142857143,7.8832318390752,5.29001074113856
"52","2020-04-22",46,54.8571428571429,49,50.4285714285714,7.22472798616916,4.73952738990333
"53","2020-04-23",80,61.2857142857143,181,70.1428571428571,8.07137579704836,6.59237379162191
"54","2020-04-24",32,50.7142857142857,64,66.1428571428571,6.67911050804701,6.21643394199785
"55","2020-04-25",67,54.2857142857143,43,68.2857142857143,7.1494704029799,6.41783029001074
"56","2020-04-26",12,46.7142857142857,2,59.1428571428571,6.15230742572218,5.55853920515575
"57","2020-04-27",55,47.8571428571429,135,68.8571428571429,6.3028225921007,6.47153598281418
"58","2020-04-28",52,49.1428571428571,73,78.1428571428571,6.47215215427654,7.34425349087003
"59","2020-04-29",73,53,32,75.7142857142857,6.98014084080406,7.11600429645542
"60","2020-04-30",47,48.2857142857143,36,55,6.35926577949265,5.16917293233083
"61","2020-05-01",46,50.2857142857143,59,54.2857142857143,6.62266732065506,5.10204081632653
"62","2020-05-02",75,51.4285714285714,48,55,6.77318248703359,5.16917293233083
"63","2020-05-03",36,54.8571428571429,53,62.2857142857143,7.22472798616916,5.85392051557465
"64","2020-05-04",71,57.1428571428571,76,53.8571428571429,7.52575831892621,5.06176154672395
"65","2020-05-05",29,53.8571428571429,108,58.8571428571429,7.09302721558795,5.53168635875403
"66","2020-05-06",73,53.8571428571429,85,66.4285714285714,7.09302721558795,6.24328678839957
"67","2020-05-07",39,52.7142857142857,10,62.7142857142857,6.94251204920943,5.89419978517723
"68","2020-05-08",49,53.1428571428571,57,62.4285714285714,6.99895523660138,5.86734693877551
"69","2020-05-09",44,48.7142857142857,68,65.2857142857143,6.41570896688459,6.1358754027927
"70","2020-05-10",47,50.2857142857143,124,75.4285714285714,6.62266732065506,7.08915145005371
"71","2020-05-11",19,42.8571428571429,7,65.5714285714286,5.64431873919466,6.16272824919441
"72","2020-05-12",50,45.8571428571429,79,61.4285714285714,6.03942105093828,5.77336197636949
"73","2020-05-13",27,39.2857142857143,19,52,5.17395884426177,4.88721804511278
"74","2020-05-14",32,38.2857142857143,11,52.1428571428571,5.04225807368056,4.90064446831364
"75","2020-05-15",87,43.7142857142857,78,55.1428571428571,5.75720511397855,5.18259935553169
"76","2020-05-16",49,44.4285714285714,46,52,5.85127709296513,4.88721804511278
"77","2020-05-17",2,38,10,35.7142857142857,5.00462928208593,3.35660580021482
"78","2020-05-18",54,43,-8,33.5714285714286,5.66313313499197,3.15520945220193
"79","2020-05-19",62,44.7142857142857,44,28.5714285714286,5.88890588455976,2.68528464017186
"80","2020-05-20",61,49.5714285714286,-2,25.5714285714286,6.52859534166849,2.40332975295381
"81","2020-05-21",59,53.4285714285714,79,35.2857142857143,7.03658402819601,3.31632653061224
"82","2020-05-22",42,47,59,32.5714285714286,6.18993621731681,3.06122448979592
"83","2020-05-23",66,49.4285714285714,46,32.5714285714286,6.50978094587117,3.06122448979592
"84","2020-05-24",111,65,77,42.1428571428571,8.56055008777856,3.96079484425349
"85","2020-05-25",48,64.1428571428571,26,47,8.44766371299467,4.41729323308271
"86","2020-05-26",116,71.8571428571429,150,62.1428571428571,9.46364108604971,5.84049409237379
"87","2020-05-27",152,84.8571428571429,79,73.7142857142857,11.1757511036054,6.92803437164339
"88","2020-05-28",62,85.2857142857143,58,70.7142857142857,11.2321942909974,6.64607948442535
"89","2020-05-29",83,91.1428571428571,123,79.8571428571429,12.0035845186873,7.50537056928034
"90","2020-05-30",13,83.5714285714286,17,75.7142857142857,11.0064215414296,7.11600429645542
"91","2020-05-31",3,68.1428571428571,17,67.1428571428571,8.9744667953195,6.31041890440387
"92","2020-06-01",61,70,97,77.2857142857143,9.21905394068461,7.26369495166488
"93","2020-06-02",8,54.5714285714286,17,58.2857142857143,7.18709919457453,5.47798066595059
"94","2020-06-03",71,43,50,54.1428571428571,5.66313313499197,5.08861439312567
"95","2020-06-04",65,43.4285714285714,36,51,5.71957632238392,4.79323308270677
"96","2020-06-05",47,38.2857142857143,66,42.8571428571429,5.04225807368056,4.02792696025779
"97","2020-06-06",22,39.5714285714286,32,45,5.2115876358564,4.22932330827068
"98","2020-06-07",4,39.7142857142857,1,42.7142857142857,5.23040203165372,4.01450053705693
"99","2020-06-08",42,37,64,38,4.87292851150472,3.57142857142857
"100","2020-06-09",66,45.2857142857143,38,41,5.96416346774902,3.85338345864662
"101","2020-06-10",66,44.5714285714286,64,43,5.87009148876244,4.04135338345865
"102","2020-06-11",43,41.4285714285714,42,43.8571428571429,5.4561747812215,4.1219119226638
"103","2020-06-12",53,42.2857142857143,38,39.8571428571429,5.56906115600539,3.74597207303974
"104","2020-06-13",21,42.1428571428571,31,39.7142857142857,5.55024676020808,3.73254564983888
"105","2020-06-14",8,42.7142857142857,6,40.4285714285714,5.62550434339734,3.79967776584318
"106","2020-06-15",44,43,51,38.5714285714286,5.66313313499197,3.62513426423201
"107","2020-06-16",56,41.5714285714286,-9,31.8571428571429,5.47498917701882,2.99409237379162
"108","2020-06-17",78,43.2857142857143,144,43.2857142857143,5.7007619265866,4.06820622986036
"109","2020-06-18",52,44.5714285714286,33,42,5.87009148876244,3.94736842105263
"110","2020-06-19",96,50.7142857142857,75,47.2857142857143,6.67911050804701,4.44414607948443
"111","2020-06-20",29,51.8571428571429,44,49.1428571428571,6.82962567442554,4.6186895810956
"112","2020-06-21",28,54.7142857142857,52,55.7142857142857,7.20591359037185,5.23630504833512
"113","2020-06-22",97,62.2857142857143,209,78.2857142857143,8.20307656762957,7.35767991407089
"114","2020-06-23",251,90.1428571428571,180,105.285714285714,11.8718837481061,9.8952738990333
"115","2020-06-24",116,95.5714285714286,167,108.571428571429,12.5868307884041,10.2040816326531
"116","2020-06-25",100,102.428571428571,111,119.714285714286,13.4899217866752,11.2513426423201
"117","2020-06-26",64,97.8571428571429,187,135.714285714286,12.8878611211611,12.7551020408163
"118","2020-06-27",82,105.428571428571,156,151.714285714286,13.8850240984189,14.2588614393126
"119","2020-06-28",44,107.714285714286,104,159.142857142857,14.1860544311759,14.9570354457572
"120","2020-06-29",21,96.8571428571429,38,134.714285714286,12.7561603505799,12.6611170784103
"121","2020-06-30",372,114.142857142857,317,154.285714285714,15.0327022420551,14.500537056928
"122","2020-07-01",118,114.428571428571,312,175,15.0703310336497,16.4473684210526
"123","2020-07-02",213,130.571428571429,250,194.857142857143,17.1963577587464,18.3136412459721
"124","2020-07-03",209,151.285714285714,386,223.285714285714,19.9244451493571,20.9854994629431
"125","2020-07-04",308,183.571428571429,520,275.285714285714,24.1764985995504,25.8727175080559
"126","2020-07-05",216,208.142857142857,219,291.714285714286,27.4125746766887,27.4167561761547
"127","2020-07-06",145,225.857142857143,231,319.285714285714,29.7455597555558,30.0080558539205
"128","2020-07-07",108,188.142857142857,183,300.142857142857,24.7785592650645,28.2089151450054
"129","2020-07-08",204,200.428571428571,292,297.285714285714,26.3965973036337,27.9403866809882
"130","2020-07-09",110,185.714285714286,228,294.142857142857,24.4587145365102,27.6450053705693
"131","2020-07-10",501,227.428571428571,435,301.142857142857,29.9525181093263,28.3029001074114
"132","2020-07-11",171,207.857142857143,333,274.428571428571,27.3749458850941,25.7921589688507
"133","2020-07-12",109,192.571428571429,241,277.571428571429,25.3618055347813,26.0875402792696
"134","2020-07-13",365,224,485,313.857142857143,29.5009726101907,29.4978517722879
"135","2020-07-14",166,232.285714285714,274,326.857142857143,30.592207566435,30.7196562835661
"136","2020-07-15",196,231.142857142857,392,341.142857142857,30.4416924000565,32.062298603652
"137","2020-07-16",185,241.857142857143,438,371.142857142857,31.8527720848552,34.8818474758324
"138","2020-07-17",143,190.714285714286,400,366.142857142857,25.1172183894162,34.4119226638024
"139","2020-07-18",289,207.571428571429,288,359.714285714286,27.3373170934995,33.8077336197637
"140","2020-07-19",135,211.285714285714,245,360.285714285714,27.8264913842297,33.8614393125671
"141","2020-07-20",68,168.857142857143,262,328.428571428571,22.2386158324269,30.8673469387755
"142","2020-07-21",150,166.571428571429,400,346.428571428571,21.9375854996699,32.5590762620838
"143","2020-07-22",253,174.714285714286,390,346.142857142857,23.0100060601169,32.5322234156821
"144","2020-07-23",277,187.857142857143,504,355.571428571429,24.7409304734699,33.4183673469388
"145","2020-07-24",287,208.428571428571,548,376.714285714286,27.4502034682833,35.4054779806659
"146","2020-07-25",258,204,428,396.714285714286,26.8669571985666,37.2851772287863
"147","2020-07-26",134,203.857142857143,194,389.428571428571,26.8481428027693,36.6004296455424
"148","2020-07-27",122,211.571428571429,230,384.857142857143,27.8641201758243,36.1707841031149
"149","2020-07-28",213,220.571428571429,409,386.142857142857,29.0494271110552,36.2916219119227
