"","date","Dekalb_NewCases","Dekalb_svnDavg","Fulton_NCases","Fulton_svnDavg","DekalbREL","FultonREL"
"1","1/22/20",NA,NA,NA,NA,NA,NA
"2","1/23/20",0,NA,0,NA,NA,NA
"3","1/24/20",0,NA,0,NA,NA,NA
"4","1/25/20",0,NA,0,NA,NA,NA
"5","1/26/20",0,NA,0,NA,NA,NA
"6","1/27/20",0,NA,0,NA,NA,NA
"7","1/28/20",0,NA,0,NA,NA,NA
"8","1/29/20",0,0,0,0,0,0
"9","1/30/20",0,0,0,0,0,0
"10","1/31/20",0,0,0,0,0,0
"11","2/1/20",0,0,0,0,0,0
"12","2/2/20",0,0,0,0,0,0
"13","2/3/20",0,0,0,0,0,0
"14","2/4/20",0,0,0,0,0,0
"15","2/5/20",0,0,0,0,0,0
"16","2/6/20",0,0,0,0,0,0
"17","2/7/20",0,0,0,0,0,0
"18","2/8/20",0,0,0,0,0,0
"19","2/9/20",0,0,0,0,0,0
"20","2/10/20",0,0,0,0,0,0
"21","2/11/20",0,0,0,0,0,0
"22","2/12/20",0,0,0,0,0,0
"23","2/13/20",0,0,0,0,0,0
"24","2/14/20",0,0,0,0,0,0
"25","2/15/20",0,0,0,0,0,0
"26","2/16/20",0,0,0,0,0,0
"27","2/17/20",0,0,0,0,0,0
"28","2/18/20",0,0,0,0,0,0
"29","2/19/20",0,0,0,0,0,0
"30","2/20/20",0,0,0,0,0,0
"31","2/21/20",0,0,0,0,0,0
"32","2/22/20",0,0,0,0,0,0
"33","2/23/20",0,0,0,0,0,0
"34","2/24/20",0,0,0,0,0,0
"35","2/25/20",0,0,0,0,0,0
"36","2/26/20",0,0,0,0,0,0
"37","2/27/20",0,0,0,0,0,0
"38","2/28/20",0,0,0,0,0,0
"39","2/29/20",0,0,0,0,0,0
"40","3/1/20",0,0,0,0,0,0
"41","3/2/20",0,0,0,0,0,0
"42","3/3/20",0,0,2,0.285714285714286,0,0.0268528464017186
"43","3/4/20",0,0,0,0.285714285714286,0,0.0268528464017186
"44","3/5/20",0,0,0,0.285714285714286,0,0.0268528464017186
"45","3/6/20",0,0,0,0.285714285714286,0,0.0268528464017186
"46","3/7/20",0,0,1,0.428571428571429,0,0.0402792696025779
"47","3/8/20",0,0,0,0.428571428571429,0,0.0402792696025779
"48","3/9/20",2,0.285714285714286,2,0.714285714285714,0.037628791594631,0.0671321160042965
"49","3/10/20",0,0.285714285714286,0,0.428571428571429,0.037628791594631,0.0402792696025779
"50","3/11/20",2,0.571428571428571,1,0.571428571428571,0.0752575831892621,0.0537056928034372
"51","3/12/20",1,0.714285714285714,2,0.857142857142857,0.0940719789865776,0.0805585392051557
"52","3/13/20",0,0.714285714285714,0,0.857142857142857,0.0940719789865776,0.0805585392051557
"53","3/14/20",3,1.14285714285714,5,1.42857142857143,0.150515166378524,0.134264232008593
"54","3/15/20",2,1.42857142857143,7,2.42857142857143,0.188143957973155,0.228249194414608
"55","3/16/20",0,1.14285714285714,7,3.14285714285714,0.150515166378524,0.295381310418904
"56","3/17/20",5,1.85714285714286,6,4,0.244587145365102,0.37593984962406
"57","3/18/20",3,2,16,6.14285714285714,0.263401541162417,0.57733619763695
"58","3/19/20",4,2.42857142857143,17,8.28571428571429,0.319844728554364,0.778732545649839
"59","3/20/20",14,4.42857142857143,22,11.4285714285714,0.583246269716781,1.07411385606874
"60","3/21/20",5,4.71428571428571,11,12.2857142857143,0.620875061311412,1.1546723952739
"61","3/22/20",12,6.14285714285714,12,13,0.809019019284568,1.2218045112782
"62","3/23/20",21,9.14285714285714,41,17.8571428571429,1.20412133102819,1.67830290010741
"63","3/24/20",33,13.1428571428571,39,22.5714285714286,1.73092441335303,2.12137486573577
"64","3/25/20",18,15.2857142857143,13,22.1428571428571,2.01314035031276,2.08109559613319
"65","3/26/20",12,16.4285714285714,27,23.5714285714286,2.16365551669129,2.21535982814178
"66","3/27/20",82,26.1428571428571,116,37,3.44303443090874,3.47744360902256
"67","3/28/20",27,29.2857142857143,31,39.8571428571429,3.85695113844968,3.74597207303974
"68","3/29/20",27,31.4285714285714,47,44.8571428571429,4.13916707540942,4.21589688506982
"69","3/30/20",21,31.4285714285714,78,50.1428571428571,4.13916707540942,4.71267454350161
"70","3/31/20",66,36.1428571428571,96,58.2857142857143,4.76004213672083,5.47798066595059
"71","4/1/20",13,35.4285714285714,39,62,4.66597015773425,5.82706766917293
"72","4/2/20",36,38.8571428571429,109,73.7142857142857,5.11751565686982,6.92803437164339
"73","4/3/20",74,37.7142857142857,163,80.4285714285714,4.9670004904913,7.55907626208378
"74","4/4/20",56,41.8571428571429,49,83,5.51261796861345,7.80075187969925
"75","4/5/20",10,39.4285714285714,11,77.8571428571429,5.19277324005908,7.31740064446831
"76","4/6/20",51,43.7142857142857,83,78.5714285714286,5.75720511397855,7.38453276047261
"77","4/7/20",73,44.7142857142857,132,83.7142857142857,5.88890588455976,7.86788399570354
"78","4/8/20",59,51.2857142857143,76,89,6.75436809123627,8.36466165413534
"79","4/9/20",34,51,75,84.1428571428571,6.71673929964164,7.90816326530612
"80","4/10/20",60,49,81,72.4285714285714,6.45333775847922,6.80719656283566
"81","4/11/20",22,44.1428571428571,29,69.5714285714286,5.8136483013705,6.53866809881847
"82","4/12/20",45,49.1428571428571,49,75,6.47215215427654,7.04887218045113
"83","4/13/20",113,58,140,83.1428571428571,7.6386446937101,7.81417830290011
"84","4/14/20",138,67.2857142857143,177,89.5714285714286,8.86158042053561,8.41836734693877
"85","4/15/20",81,70.4285714285714,90,91.5714285714286,9.27549712807655,8.6063372717508
"86","4/16/20",35,70.5714285714286,43,87,9.29431152387387,8.17669172932331
"87","4/17/20",106,77.1428571428571,92,88.5714285714286,10.1597737305504,8.32438238453276
"88","4/18/20",42,80,28,88.4285714285714,10.5360616464967,8.3109559613319
"89","4/19/20",65,82.8571428571429,66,90.8571428571429,10.912349562443,8.53920515574651
"90","4/20/20",47,73.4285714285714,67,80.4285714285714,9.67059943982018,7.55907626208378
"91","4/21/20",43,59.8571428571429,8,56.2857142857143,7.8832318390752,5.29001074113856
"92","4/22/20",46,54.8571428571429,49,50.4285714285714,7.22472798616916,4.73952738990333
"93","4/23/20",80,61.2857142857143,181,70.1428571428571,8.07137579704836,6.59237379162191
"94","4/24/20",32,50.7142857142857,64,66.1428571428571,6.67911050804701,6.21643394199785
"95","4/25/20",67,54.2857142857143,43,68.2857142857143,7.1494704029799,6.41783029001074
"96","4/26/20",12,46.7142857142857,2,59.1428571428571,6.15230742572218,5.55853920515575
"97","4/27/20",55,47.8571428571429,135,68.8571428571429,6.3028225921007,6.47153598281418
"98","4/28/20",30,46,40,73.4285714285714,6.0582354467356,6.90118152524168
"99","4/29/20",81,51,46,73,6.71673929964164,6.8609022556391
"100","4/30/20",57,47.7142857142857,42,53.1428571428571,6.28400819630339,4.99462943071966
"101","5/1/20",45,49.5714285714286,81,55.5714285714286,6.52859534166849,5.22287862513426
"102","5/2/20",77,51,36,54.5714285714286,6.71673929964164,5.12889366272825
"103","5/3/20",36,54.4285714285714,53,61.8571428571429,7.16828479877721,5.81364124597207
"104","5/4/20",69,56.4285714285714,85,54.7142857142857,7.43168633993963,5.14232008592911
"105","5/5/20",24,55.5714285714286,94,62.4285714285714,7.31879996515574,5.86734693877551
"106","5/6/20",79,55.2857142857143,94,69.2857142857143,7.28117117356111,6.51181525241676
"107","5/7/20",38,52.5714285714286,7,64.2857142857143,6.92369765341211,6.04189044038668
"108","5/8/20",49,53.1428571428571,58,61,6.99895523660138,5.73308270676692
"109","5/9/20",44,48.4285714285714,69,65.7142857142857,6.37808017528996,6.17615467239527
"110","5/10/20",46,49.8571428571429,123,75.7142857142857,6.56622413326312,7.11600429645542
"111","5/11/20",31,44.4285714285714,17,66,5.85127709296513,6.20300751879699
"112","5/12/20",44,47.2857142857143,70,62.5714285714286,6.22756500891144,5.88077336197637
"113","5/13/20",27,39.8571428571429,20,52,5.24921642745103,4.88721804511278
"114","5/14/20",32,39,12,52.7142857142857,5.13633005266714,4.95435016111708
"115","5/15/20",90,44.8571428571429,82,56.1428571428571,5.90772028035707,5.2765843179377
"116","5/16/20",45,45,37,51.5714285714286,5.92653467615439,4.8469387755102
"117","5/17/20",3,38.8571428571429,6,34.8571428571429,5.11751565686982,3.27604726100967
"118","5/18/20",54,42.1428571428571,0,32.4285714285714,5.55024676020808,3.04779806659506
"119","5/19/20",62,44.7142857142857,42,28.4285714285714,5.88890588455976,2.671858216971
"120","5/20/20",62,49.7142857142857,0,25.5714285714286,6.5474097374658,2.40332975295381
"121","5/21/20",68,54.8571428571429,78,35,7.22472798616916,3.28947368421053
"122","5/22/20",32,46.5714285714286,60,31.8571428571429,6.13349302992486,2.99409237379162
"123","5/23/20",66,49.5714285714286,45,33,6.52859534166849,3.1015037593985
"124","5/24/20",115,65.5714285714286,77,43.1428571428571,8.63580767096783,4.05477980665951
"125","5/25/20",44,64.1428571428571,27,47,8.44766371299467,4.41729323308271
"126","5/26/20",129,73.7142857142857,175,66,9.70822823141481,6.20300751879699
"127","5/27/20",144,85.4285714285714,55,73.8571428571429,11.2510086867947,6.94146079484425
"128","5/28/20",61,84.4285714285714,59,71.1428571428571,11.1193079162135,6.68635875402793
"129","5/29/20",79,91.1428571428571,125,80.4285714285714,12.0035845186873,7.55907626208378
"130","5/30/20",14,83.7142857142857,16,76.2857142857143,11.0252359372269,7.16970998925886
"131","5/31/20",2,67.5714285714286,13,67.1428571428571,8.89920921213024,6.31041890440387
"132","6/1/20",65,70.5714285714286,102,77.8571428571429,9.29431152387387,7.31740064446831
"133","6/2/20",29,56.2857142857143,33,57.5714285714286,7.41287194414232,5.41084854994629
"134","6/3/20",73,46.1428571428571,31,54.1428571428571,6.07704984253291,5.08861439312567
"135","6/4/20",63,46.4285714285714,83,57.5714285714286,6.11467863412755,5.41084854994629
"136","6/5/20",21,38.1428571428571,20,42.5714285714286,5.02344367788324,4.00107411385607
"137","6/6/20",23,39.4285714285714,29,44.4285714285714,5.19277324005908,4.17561761546724
"138","6/7/20",27,43,23,45.8571428571429,5.66313313499197,4.30988184747583
"139","6/8/20",48,40.5714285714286,66,40.7142857142857,5.34328840643761,3.8265306122449
"140","6/9/20",84,48.4285714285714,53,43.5714285714286,6.37808017528996,4.09505907626208
"141","6/10/20",47,44.7142857142857,57,47.2857142857143,5.88890588455976,4.44414607948443
"142","6/11/20",37,41,44,41.7142857142857,5.39973159382956,3.92051557465091
"143","6/12/20",50,45.1428571428571,27,42.7142857142857,5.94534907195171,4.01450053705693
"144","6/13/20",3,42.2857142857143,7,39.5714285714286,5.56906115600539,3.71911922663802
"145","6/14/20",30,42.7142857142857,12,38,5.62550434339734,3.57142857142857
"146","6/15/20",37,41.1428571428571,0,28.5714285714286,5.41854598962687,2.68528464017186
"147","6/16/20",86,41.4285714285714,133,40,5.4561747812215,3.7593984962406
"148","6/17/20",51,42,63,40.8571428571429,5.53143236441076,3.83995703544576
"149","6/18/20",82,48.4285714285714,75,45.2857142857143,6.37808017528996,4.25617615467239
"150","6/19/20",66,50.7142857142857,53,49,6.67911050804701,4.60526315789474
"151","6/20/20",12,52,15,50.1428571428571,6.84844007022285,4.71267454350161
"152","6/21/20",72,58,119,65.4285714285714,7.6386446937101,6.14930182599355
"153","6/22/20",126,70.7142857142857,235,99,9.31312591967118,9.30451127819549
"154","6/23/20",194,86.1428571428571,124,97.7142857142857,11.3450806657813,9.18367346938775
"155","6/24/20",119,95.8571428571429,197,116.857142857143,12.6244595799987,10.9828141783029
"156","6/25/20",100,98.4285714285714,125,124,12.9631187043504,11.6541353383459
"157","6/26/20",114,105.285714285714,205,145.714285714286,13.8662097026215,13.6949516648765
"158","6/27/20",49,110.571428571429,149,164.857142857143,14.5623423471222,15.4940923737916
"159","6/28/20",8,101.428571428571,11,149.428571428571,13.358221016094,14.0440386680988
"160","6/29/20",139,103.285714285714,233,149.142857142857,13.6028081614591,14.0171858216971
"161","6/30/20",325,122,298,174,16.0674940109075,16.3533834586466
"162","7/1/20",119,122,298,188.428571428571,16.0674940109075,17.7094522019334
"163","7/2/20",225,139.857142857143,197,198.714285714286,18.4192934855719,18.6761546723953
"164","7/3/20",194,151.285714285714,378,223.428571428571,19.9244451493571,20.9989258861439
"165","7/4/20",250,180,426,263,23.7061387046176,24.718045112782
"166","7/5/20",217,209.857142857143,230,294.285714285714,27.6383474262565,27.6584317937701
"167","7/6/20",173,214.714285714286,292,302.714285714286,28.2780368833652,28.4505907626208
"168","7/7/20",103,183,202,289,24.1012410163612,27.1616541353383
"169","7/8/20",170,190.285714285714,213,276.857142857143,25.0607752020243,26.0204081632653
"170","7/9/20",190,185.285714285714,402,306.142857142857,24.4022713491182,28.7728249194415
"171","7/10/20",469,224.571428571429,357,303.142857142857,29.57623019338,28.4908700322234
"172","7/11/20",122,206.285714285714,240,276.571428571429,27.1679875313236,25.9935553168636
"173","7/12/20",109,190.857142857143,230,276.571428571429,25.1360327852135,25.9935553168636
"174","7/13/20",132,185,152,256.571428571429,24.3646425575236,24.1138560687433
"175","7/14/20",397,227,591,312.142857142857,29.8960749219344,29.3367346938776
"176","7/15/20",196,230.714285714286,392,337.714285714286,30.3852492126646,31.7400644468314
"177","7/16/20",185,230,438,342.857142857143,30.291177233678,32.2234156820623
"178","7/17/20",143,183.428571428571,400,349,24.1576842037531,32.8007518796992
"179","7/18/20",289,207.285714285714,288,355.857142857143,27.2996883019048,33.4452201933405
"180","7/19/20",135,211,245,358,27.788862592635,33.6466165413534
"181","7/20/20",68,201.857142857143,262,373.714285714286,26.5847412616068,35.1235230934479
"182","7/21/20",150,166.571428571429,400,346.428571428571,21.9375854996699,32.5590762620838
"183","7/22/20",253,174.714285714286,390,346.142857142857,23.0100060601169,32.5322234156821
"184","7/23/20",277,187.857142857143,504,355.571428571429,24.7409304734699,33.4183673469388
"185","7/24/20",287,208.428571428571,548,376.714285714286,27.4502034682833,35.4054779806659
"186","7/25/20",258,204,428,396.714285714286,26.8669571985666,37.2851772287863
"187","7/26/20",134,203.857142857143,194,389.428571428571,26.8481428027693,36.6004296455424
"188","7/27/20",122,211.571428571429,230,384.857142857143,27.8641201758243,36.1707841031149
"189","7/28/20",213,220.571428571429,409,386.142857142857,29.0494271110552,36.2916219119227
